G,R,2B,3B,HR,RBI,SO,BA,OPS,GDP,SF,Salary
57,29,10,1,5,29,46,0.266,0.729,3,0,6.454604763
47,33,6,0,11,32,48,0.266,0.84,3,0,6.515085575
54,28,5,2,7,25,45,0.266,0.769,6,0,6.668900341
51,37,6,2,14,32,38,0.265,0.899,3,2,6.837304848
53,26,4,2,1,16,30,0.265,0.675,1,1,6.525809372
58,22,9,0,5,25,49,0.264,0.709,4,1,6.418175533
57,32,16,1,11,43,67,0.263,0.793,8,0,5.355504503
60,34,13,2,9,33,38,0.262,0.791,6,0,5.277989969
58,37,3,0,11,28,71,0.262,0.801,5,2,5.26713345
59,22,10,1,5,20,32,0.26,0.734,10,1,5.85750832
54,29,15,1,8,23,74,0.259,0.813,4,0,5.27813973
52,25,5,1,7,17,35,0.258,0.713,5,0,6.360183649
57,27,11,1,12,28,63,0.258,0.866,1,0,5.310269922
60,30,13,0,8,27,41,0.258,0.75,8,2,6.758123557
55,22,8,0,4,19,35,0.258,0.658,7,1,6.112597791
57,31,7,0,13,42,34,0.257,0.792,3,2,6.404387187
54,26,12,0,8,28,47,0.256,0.792,3,2,6.691176756
59,33,11,3,6,22,70,0.256,0.71,4,0,5.296482061
52,29,10,0,12,31,64,0.256,0.816,4,1,5.277013229
59,27,7,1,11,38,66,0.255,0.81,2,1,5.30396108
53,33,7,2,2,24,39,0.255,0.674,4,2,5.275356673
53,26,10,1,7,28,39,0.254,0.722,10,3,6.690968375
48,23,9,0,8,26,20,0.253,0.738,7,4,7.059990348
57,32,9,0,10,34,48,0.253,0.757,4,1,6.745534442
59,42,8,3,10,26,64,0.251,0.808,1,1,5.268515536
46,46,11,0,14,29,60,0.25,0.987,3,0,5.515085106
59,41,16,0,8,28,61,0.25,0.807,2,0,5.275961083
57,28,4,0,10,35,51,0.25,0.746,3,2,6.992206791
55,29,7,1,5,26,48,0.25,0.685,5,2,5.279858287
56,26,9,0,6,19,56,0.247,0.761,8,1,5.287747287
52,28,10,0,10,23,52,0.247,0.797,9,1,5.28850663
59,32,12,2,5,33,54,0.246,0.795,2,5,6.196326832
56,22,11,1,4,23,42,0.245,0.693,5,1,6.62902891
